,Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit,nutrition
10,10,frischkäse,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""frisch""}",100.0,g,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""g"", ""bezeichnung"": ""frischkase"", ""erkannteZutat"": ""Frischk\u00e4se""}, {""ZF"": 31501.0, ""ZE"": 11300.0, ""ZK"": 2560.0, ""ZA"": 0.0, ""GCAL"": 337.0, ""QUALI"": 1.01974046}]]}"
11,11,öl,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""\u00d6l""}",0.015,l,"{""detailed_info"": [[{""menge"": ""15.0g"", ""einheit"": ""l"", ""bezeichnung"": ""ol"", ""erkannteZutat"": ""Sonnenblumen\u00f6l""}, {""ZF"": 15000.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 132.6, ""QUALI"": 99999.0}]]}"
12,12,butter,1 klecks,"{""anzahl"": 1, ""einheit"": ""klecks""}","{""zutat"": ""Butter"", ""eigenschaft"": ""klein""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""butter"", ""erkannteZutat"": ""Butter""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
13,13,tomatenmark dreifachkonzentriert,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Tomatenmark"", ""eigenschaft"": ""dreifachkonzentriert""}",0.015,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""tomatenmark dreifachkonzentriert"", ""erkannteZutat"": ""Tomatenmark""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 1.87076046}]]}"
14,14,majoran getrocknet,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Majoran"", ""eigenschaft"": ""getrocknet""}",0.005,l,"{""detailed_info"": [[{""menge"": ""0.01g"", ""einheit"": ""l"", ""bezeichnung"": ""majoran getrocknet"", ""erkannteZutat"": ""Majoran getrocknet""}, {""ZF"": 0.7, ""ZE"": 1.27, ""ZK"": 4.25, ""ZA"": 0.0, ""GCAL"": 0.0287, ""QUALI"": 99999.0}]]}"
15,15,bio hähnchenschlegel,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""H\u00e4hnchenschlegel"", ""eigenschaft"": ""bio""}",4.0,stk,
16,16,hähnchen freilandhaltung,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""H\u00e4hnchen"", ""eigenschaft"": ""Freilandhaltung""}",2.0,stk,"{""detailed_info"": [[{""menge"": ""300.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""hahnchen freilandhaltung"", ""erkannteZutat"": ""Brath\u00e4hnchen roh""}, {""ZF"": 28800.0, ""ZE"": 59700.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 498.0, ""QUALI"": 0.5123404600000001}]]}"
17,17,rapsöl,1 schuss,"{""volumen"": 1, ""einheit"": ""schuss""}","{""zutat"": ""Schuss"", ""eigenschaft"": ""Raps\u00f6l""}",0.02,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""rapsol"", ""erkannteZutat"": ""R\u00fcb\u00f6l (Raps\u00f6l)""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.35420046000000005}]]}"
18,18,zwiebeln grob geschnitten,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""geschnitten""}",2.0,stk,"{""detailed_info"": [[{""menge"": ""200.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""zwiebeln geschnitten"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 500.0, ""ZE"": 2354.0, ""ZK"": 9842.0, ""ZA"": 0.0, ""GCAL"": 56.0, ""QUALI"": 1.65959046}]]}"
19,19,rosenkohl frisch,190 g,"{""gewicht"": 190, ""einheit"": ""g""}","{""zutat"": ""Rosenkohl"", ""eigenschaft"": ""frisch""}",190.0,g,"{""detailed_info"": [[{""menge"": ""190.0g"", ""einheit"": ""g"", ""bezeichnung"": ""rosenkohl"", ""erkannteZutat"": ""Rosenkohl roh""}, {""ZF"": 646.0, ""ZE"": 8455.0, ""ZK"": 6251.0, ""ZA"": 0.0, ""GCAL"": 68.4, ""QUALI"": 1.4657404600000001}]]}"
20,20,snackkarotten,80 g,"{""gewicht"": 80, ""einheit"": ""g""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""Snack-""}",80.0,g,
21,21,lauch längs halbiert undgeschnitten,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Lauch"", ""eigenschaft"": ""geschnitten""}",40.0,g,"{""detailed_info"": [[{""menge"": ""40.0g"", ""einheit"": ""g"", ""bezeichnung"": ""lauch"", ""erkannteZutat"": ""Porree roh""}, {""ZF"": 114.4, ""ZE"": 856.0, ""ZK"": 1304.8, ""ZA"": 0.0, ""GCAL"": 10.0, ""QUALI"": 1.25457046}]]}"
22,22,weißwein trocken,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Wein"", ""eigenschaft"": ""trocken""}",0.1,l,
23,23,champignons,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Champignon""}",150.0,g,"{""detailed_info"": [[{""menge"": ""150.0g"", ""einheit"": ""g"", ""bezeichnung"": ""champignons"", ""erkannteZutat"": ""Champignon roh""}, {""ZF"": 373.5, ""ZE"": 6160.5, ""ZK"": 840.0, ""ZA"": 0.0, ""GCAL"": 31.5, ""QUALI"": 1.53613046}]]}"
24,24,sahne flüssig,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fl\u00fcssig""}",0.2,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""sahne flussig"", ""erkannteZutat"": ""Sahne""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 1.44842046}]]}"
25,25,butter,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Butter""}",0.005,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""butter"", ""erkannteZutat"": ""Butter""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
26,26,mehl,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Mehl""}",0.005,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""mehl"", ""erkannteZutat"": ""Mehl""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
27,27,frischkäse doppelrahmstufe,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""doppelrahmstufe""}",150.0,g,"{""detailed_info"": [[{""menge"": ""150.0g"", ""einheit"": ""g"", ""bezeichnung"": ""frischkase doppelrahmstufe"", ""erkannteZutat"": ""Frischk\u00e4se""}, {""ZF"": 47251.5, ""ZE"": 16950.0, ""ZK"": 3840.0, ""ZA"": 0.0, ""GCAL"": 505.5, ""QUALI"": 1.01974046}]]}"
28,28,milch,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Milch"", ""eigenschaft"": ""fl\u00fcssig""}",0.03,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""milch"", ""erkannteZutat"": ""Kuhmilch""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
29,29,zucker,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Zucker""}",0.015,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""zucker"", ""erkannteZutat"": ""Zucker""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
30,30,heidelbeeren frisch,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Heidelbeere"", ""eigenschaft"": ""frisch""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""heidelbeeren"", ""erkannteZutat"": ""Heidelbeere""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 2.0673904600000004}]]}"
31,31,schokoriegel,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Schokoriegel""}",1.0,stk,
32,32,amarettini mandelkeksezerstoßen,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Amarettini"", ""eigenschaft"": ""zersto\u00dfen""}",0.03,l,
33,33,deko schirmchen,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Schirmchen"", ""eigenschaft"": ""Deko""}",2.0,stk,
34,34,möhren,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""M\u00f6hre""}",200.0,g,"{""detailed_info"": [[{""menge"": ""200.0g"", ""einheit"": ""g"", ""bezeichnung"": ""mohren"", ""erkannteZutat"": ""Karotte (Mohrr\u00fcbe, M\u00f6hre) roh""}, {""ZF"": 360.0, ""ZE"": 1680.0, ""ZK"": 13598.0, ""ZA"": 0.0, ""GCAL"": 66.0, ""QUALI"": -1.64410954}]]}"
35,35,kohlrabi frisch,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Kohlrabi"", ""eigenschaft"": ""frisch""}",150.0,g,"{""detailed_info"": [[{""menge"": ""150.0g"", ""einheit"": ""g"", ""bezeichnung"": ""kohlrabi"", ""erkannteZutat"": ""Kohlrabi roh""}, {""ZF"": 240.0, ""ZE"": 2910.0, ""ZK"": 5550.0, ""ZA"": 0.0, ""GCAL"": 37.5, ""QUALI"": 1.3953504600000002}]]}"
36,36,paprika rot,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}",2.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""paprika"", ""erkannteZutat"": ""Rosenpaprika""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.7765804600000002}]]}"
37,37,staudensellerie,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Staudensellerie""}",150.0,g,"{""detailed_info"": [[{""menge"": ""150.0g"", ""einheit"": ""g"", ""bezeichnung"": ""staudensellerie"", ""erkannteZutat"": ""Bleichsellerie roh""}, {""ZF"": 300.0, ""ZE"": 1800.0, ""ZK"": 3270.0, ""ZA"": 0.0, ""GCAL"": 25.5, ""QUALI"": 1.8176904600000001}]]}"
38,38,zwiebel frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 250.0, ""ZE"": 1177.0, ""ZK"": 4921.0, ""ZA"": 0.0, ""GCAL"": 28.0, ""QUALI"": 99999.0}]]}"
39,39,tomatenmark dreifachkonzentriert,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Tomatenmark"", ""eigenschaft"": ""dreifachkonzentriert""}",0.005,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""tomatenmark dreifachkonzentriert"", ""erkannteZutat"": ""Tomatenmark""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 1.87076046}]]}"
40,40,chilisoße  sambal oelek ,0.5 tl,"{""volumen"": 0.5, ""einheit"": ""tl""}","{""zutat"": ""Chiliso\u00dfe"", ""eigenschaft"": ""Sambal Oelek""}",0.0025,l,
41,41,frischkäse,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""frisch""}",200.0,g,"{""detailed_info"": [[{""menge"": ""200.0g"", ""einheit"": ""g"", ""bezeichnung"": ""frischkase"", ""erkannteZutat"": ""Frischk\u00e4se""}, {""ZF"": 63002.0, ""ZE"": 22600.0, ""ZK"": 5120.0, ""ZA"": 0.0, ""GCAL"": 674.0, ""QUALI"": 1.01974046}]]}"
42,42,chicoree,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Chicoree""}",0.5,stk,"{""detailed_info"": [[{""menge"": ""65.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""chicoree"", ""erkannteZutat"": ""Chicoree""}, {""ZF"": 117.0, ""ZE"": 793.0, ""ZK"": 1588.6, ""ZA"": 0.0, ""GCAL"": 11.05, ""QUALI"": 99999.0}]]}"
43,43,feldsalat,g,"{""gewicht"": ""g"", ""einheit"": ""g""}","{""zutat"": ""Feldsalat""}",1.0,g,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""g"", ""bezeichnung"": ""feldsalat"", ""erkannteZutat"": ""Feldsalat roh""}, {""ZF"": 3.6, ""ZE"": 18.4, ""ZK"": 8.1, ""ZA"": 0.0, ""GCAL"": 0.15, ""QUALI"": 1.4657404600000001}]]}"
44,44,frischkäse doppelrahmstufe,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""Doppelrahmstufe""}",150.0,g,"{""detailed_info"": [[{""menge"": ""150.0g"", ""einheit"": ""g"", ""bezeichnung"": ""frischkase doppelrahmstufe"", ""erkannteZutat"": ""Frischk\u00e4se""}, {""ZF"": 47251.5, ""ZE"": 16950.0, ""ZK"": 3840.0, ""ZA"": 0.0, ""GCAL"": 505.5, ""QUALI"": 1.01974046}]]}"
45,45,orange,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Orange"", ""eigenschaft"": ""orange""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""150.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""orange"", ""erkannteZutat"": ""Orange roh""}, {""ZF"": 300.0, ""ZE"": 1500.0, ""ZK"": 12375.0, ""ZA"": 0.0, ""GCAL"": 64.5, ""QUALI"": 1.25457046}]]}"
46,46,orangenabrieb,1 teelöffel,"{""volumen"": ""1"", ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""orange""}",0.005,l,
47,47,orangensaft frisch gepresst,0.5 frucht,"{""anzahl"": 0.5, ""einheit"": ""frucht""}","{""zutat"": ""Orangensaft"", ""eigenschaft"": ""gepresst""}",0.5,stk,"{""detailed_info"": [[{""menge"": ""75.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""orangensaft"", ""erkannteZutat"": ""Orange Fruchtsaft""}, {""ZF"": 105.0, ""ZE"": 510.0, ""ZK"": 6519.75, ""ZA"": 0.0, ""GCAL"": 32.25, ""QUALI"": 99999.0}]]}"
48,48,zucker,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Zucker""}",0.005,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""zucker"", ""erkannteZutat"": ""Zucker""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
49,49,spargel konserve,1 glas,"{""volumen"": 1, ""einheit"": ""glas""}","{""zutat"": ""Spargel"", ""eigenschaft"": ""konserviert""}",0.2,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""spargel konserve"", ""erkannteZutat"": ""Spargel roh""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 1.51693046}]]}"
50,50,ei hart gekocht,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Ei"", ""eigenschaft"": ""gekocht""}",2.0,stk,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""ei"", ""erkannteZutat"": ""H\u00fchnerei""}, {""ZF"": 9320.0, ""ZE"": 11850.0, ""ZK"": 1530.0, ""ZA"": 0.0, ""GCAL"": 137.0, ""QUALI"": 99999.0}]]}"
51,51,radieschen frisch,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Radieschen"", ""eigenschaft"": ""frisch""}",3.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""radieschen"", ""erkannteZutat"": ""Radieschen roh""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 1.53613046}]]}"
52,52,datteltomaten,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""Datteltomate"", ""eigenschaft"": ""ganz""}",4.0,stk,
53,53,camembert doppelrahmstufe,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Camembert"", ""eigenschaft"": ""doppelrahm""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""camembert doppelrahmstufe"", ""erkannteZutat"": ""Camembert""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 1.72998046}]]}"
54,54,edamer,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Edamer"", ""eigenschaft"": ""40 g""}",40.0,g,"{""detailed_info"": [[{""menge"": ""40.0g"", ""einheit"": ""g"", ""bezeichnung"": ""edamer"", ""erkannteZutat"": ""Edamer""}, {""ZF"": 11320.0, ""ZE"": 9920.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 141.6, ""QUALI"": 99999.0}]]}"
55,55,weinessig,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig"", ""eigenschaft"": ""wei\u00df""}",0.015,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""weinessig"", ""erkannteZutat"": ""Weinessig""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
56,56,rapsöl,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}",0.03,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""rapsol"", ""erkannteZutat"": ""R\u00fcb\u00f6l (Raps\u00f6l)""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 0.35420046000000005}]]}"
57,57,senf grob mittelscharf,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}",0.005,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""senf mittelscharf"", ""erkannteZutat"": ""Senf mittelscharf""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
58,58,sonnenblumenkern,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Sonnenblumenkern""}",0.015,l,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""l"", ""bezeichnung"": ""sonnenblumenkern"", ""erkannteZutat"": ""Sonnenblumenkern""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": 99999.0}]]}"
59,59,blumenkohl frisch,0.5 kopf,"{""anzahl"": 0.5, ""einheit"": ""kopf""}","{""zutat"": ""Blumenkohl"", ""eigenschaft"": ""frisch""}",0.5,stk,"{""detailed_info"": [[{""menge"": ""250.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""blumenkohl"", ""erkannteZutat"": ""Blumenkohl roh""}, {""ZF"": 700.0, ""ZE"": 6150.0, ""ZK"": 5850.0, ""ZA"": 0.0, ""GCAL"": 57.5, ""QUALI"": 1.53613046}]]}"
60,60,kartoffel gewürfelt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Kartoffel"", ""eigenschaft"": ""gew\u00fcrfelt""}",1.0,stk,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""kartoffel"", ""erkannteZutat"": ""Kartoffeln gegart""}, {""ZF"": 13.0, ""ZE"": 1896.0, ""ZK"": 14997.0, ""ZA"": 0.0, ""GCAL"": 70.0, ""QUALI"": 0.9493104600000002}]]}"
61,61,karotte,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte""}",0.5,stk,"{""detailed_info"": [[{""menge"": ""0.0g"", ""einheit"": ""st\u00fcck"", ""bezeichnung"": ""karotte"", ""erkannteZutat"": ""Karotten-Saftschorle""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.0, ""QUALI"": -0.19605954000000003}]]}"
