Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit,nutrition,status,prompt_used,recognized_name
10,frischkäse,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""frisch""}",100.0,g,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""g"", ""bezeichnung"": ""frischkase"", ""erkannteZutat"": ""Frischkäse""}, {""ZF"": 31501.0, ""ZE"": 11300.0, ""ZK"": 2560.0, ""ZA"": 0.0, ""GCAL"": 337.0, ""QUALI"": 1.01974046}]]}",ok,100.0 g Frischkäse,frischkase
11,öl,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""\u00d6l""}",0.015,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""ol"", ""erkannteZutat"": ""Sonnenblumenöl""}, {""ZF"": 10000.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 88.4, ""QUALI"": 99999.0}]]}",ok,0.015 liter Öl,ol
12,butter,1 klecks,"{""anzahl"": 1, ""einheit"": ""klecks""}","{""zutat"": ""Butter"", ""eigenschaft"": ""klein""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""g"", ""bezeichnung"": ""butter"", ""erkannteZutat"": ""Butter""}, {""ZF"": 831.99, ""ZE"": 6.7, ""ZK"": 6.0, ""ZA"": 0.0, ""GCAL"": 7.41, ""QUALI"": 99999.0}]]}",ok,1.0 g butter,butter
13,tomatenmark dreifachkonzentriert,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Tomatenmark"", ""eigenschaft"": ""dreifachkonzentriert""}",0.015,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""tomatenmark"", ""erkannteZutat"": ""Tomatenmark""}, {""ZF"": 50.1, ""ZE"": 230.0, ""ZK"": 555.0, ""ZA"": 0.0, ""GCAL"": 3.8, ""QUALI"": 99999.0}]]}",ok,0.015 liter Tomatenmark,tomatenmark
14,majoran getrocknet,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Majoran"", ""eigenschaft"": ""getrocknet""}",0.005,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""majoran"", ""erkannteZutat"": ""Majoran""}, {""ZF"": 113.2, ""ZE"": 205.4, ""ZK"": 687.4, ""ZA"": 0.0, ""GCAL"": 4.6, ""QUALI"": 99999.0}]]}",ok,0.005 liter Majoran,majoran
16,hähnchen freilandhaltung,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""H\u00e4hnchen"", ""eigenschaft"": ""Freilandhaltung""}",2.0,stück,"{""detailed_info"": [[{""menge"": ""300.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""hahnchen"", ""erkannteZutat"": ""Brathähnchen roh""}, {""ZF"": 28800.0, ""ZE"": 59700.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 498.0, ""QUALI"": 0.3203704600000001}]]}",ok,2.0 stück Hähnchen,hahnchen
17,rapsöl,1 schuss,"{""volumen"": 1, ""einheit"": ""schuss""}","{""zutat"": ""Schuss"", ""eigenschaft"": ""Raps\u00f6l""}",0.02,liter,"{""detailed_info"": [[{""menge"": ""0.02g"", ""einheit"": ""g"", ""bezeichnung"": ""rapsol"", ""erkannteZutat"": ""Rüböl (Rapsöl)""}, {""ZF"": 20.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 0.17679999999999998, ""QUALI"": 0.35420046000000005}]]}",ok,0.02 g rapsöl,rapsol
18,zwiebeln grob geschnitten,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""geschnitten""}",2.0,stück,"{""detailed_info"": [[{""menge"": ""200.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 500.0, ""ZE"": 2354.0, ""ZK"": 9842.0, ""ZA"": 0.0, ""GCAL"": 56.0, ""QUALI"": 99999.0}]]}",ok,2.0 stück Zwiebel,zwiebel
19,rosenkohl frisch,190 g,"{""gewicht"": 190, ""einheit"": ""g""}","{""zutat"": ""Rosenkohl"", ""eigenschaft"": ""frisch""}",190.0,g,"{""detailed_info"": [[{""menge"": ""190.0g"", ""einheit"": ""g"", ""bezeichnung"": ""rosenkohl"", ""erkannteZutat"": ""Rosenkohl roh""}, {""ZF"": 646.0, ""ZE"": 8455.0, ""ZK"": 6251.0, ""ZA"": 0.0, ""GCAL"": 68.4, ""QUALI"": 1.4657404600000001}]]}",ok,190.0 g Rosenkohl,rosenkohl
20,snackkarotten,80 g,"{""gewicht"": 80, ""einheit"": ""g""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""Snack-""}",80.0,g,"{""detailed_info"": [[{""menge"": ""80.0g"", ""einheit"": ""g"", ""bezeichnung"": ""karotte"", ""erkannteZutat"": ""Karotten-Saftschorle""}, {""ZF"": 60.8, ""ZE"": 252.0, ""ZK"": 1900.0, ""ZA"": 0.0, ""GCAL"": 9.6, ""QUALI"": -0.19605954000000003}]]}",ok,80.0 g Karotte,karotte
21,lauch längs halbiert undgeschnitten,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Lauch"", ""eigenschaft"": ""geschnitten""}",40.0,g,"{""detailed_info"": [[{""menge"": ""40.0g"", ""einheit"": ""g"", ""bezeichnung"": ""lauch"", ""erkannteZutat"": ""Porree roh""}, {""ZF"": 114.4, ""ZE"": 856.0, ""ZK"": 1304.8, ""ZA"": 0.0, ""GCAL"": 10.0, ""QUALI"": 1.25457046}]]}",ok,40.0 g Lauch,lauch
22,weißwein trocken,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Wein"", ""eigenschaft"": ""trocken""}",0.1,liter,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""wein"", ""erkannteZutat"": ""Süßwein""}, {""ZF"": 0.0, ""ZE"": 100.0, ""ZK"": 22500.0, ""ZA"": 8440.0, ""GCAL"": 152.0, ""QUALI"": 0.8085704600000001}]]}",ok,0.1 liter Wein,wein
23,champignons,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Champignon""}",150.0,g,"{""detailed_info"": [[{""menge"": ""150.0g"", ""einheit"": ""g"", ""bezeichnung"": ""champignon"", ""erkannteZutat"": ""Champignon roh""}, {""ZF"": 373.5, ""ZE"": 6160.5, ""ZK"": 840.0, ""ZA"": 0.0, ""GCAL"": 31.5, ""QUALI"": 1.53613046}]]}",ok,150.0 g Champignon,champignon
24,sahne flüssig,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fl\u00fcssig""}",0.2,liter,"{""detailed_info"": [[{""menge"": ""200.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""sahne"", ""erkannteZutat"": ""Sahne""}, {""ZF"": 63402.0, ""ZE"": 4720.0, ""ZK"": 6540.0, ""ZA"": 0.0, ""GCAL"": 606.0, ""QUALI"": 99999.0}]]}",ok,0.2 liter Sahne,sahne
25,butter,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Butter""}",0.005,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""butter"", ""erkannteZutat"": ""Butter""}, {""ZF"": 8319.9, ""ZE"": 67.0, ""ZK"": 60.0, ""ZA"": 0.0, ""GCAL"": 74.1, ""QUALI"": 99999.0}]]}",ok,0.005 liter Butter,butter
26,mehl,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Mehl""}",0.005,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""mehl"", ""erkannteZutat"": ""Mehl""}, {""ZF"": 98.0, ""ZE"": 1004.0, ""ZK"": 7234.1, ""ZA"": 0.0, ""GCAL"": 34.3, ""QUALI"": 99999.0}]]}",ok,0.005 liter Mehl,mehl
27,frischkäse doppelrahmstufe,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""doppelrahmstufe""}",150.0,g,"{""detailed_info"": [[{""menge"": ""150.0g"", ""einheit"": ""g"", ""bezeichnung"": ""frischkase"", ""erkannteZutat"": ""Frischkäse""}, {""ZF"": 47251.5, ""ZE"": 16950.0, ""ZK"": 3840.0, ""ZA"": 0.0, ""GCAL"": 505.5, ""QUALI"": 1.01974046}]]}",ok,150.0 g Frischkäse,frischkase
28,milch,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Milch"", ""eigenschaft"": ""fl\u00fcssig""}",0.03,liter,"{""detailed_info"": [[{""menge"": ""30.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""milch"", ""erkannteZutat"": ""Kuhmilch""}, {""ZF"": 1070.7, ""ZE"": 1014.6, ""ZK"": 1410.0, ""ZA"": 0.0, ""GCAL"": 19.5, ""QUALI"": 99999.0}]]}",ok,0.03 liter Milch,milch
29,zucker,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Zucker""}",0.015,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""zucker"", ""erkannteZutat"": ""Zucker""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 9980.0, ""ZA"": 0.0, ""GCAL"": 40.5, ""QUALI"": 99999.0}]]}",ok,0.015 liter Zucker,zucker
30,heidelbeeren frisch,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Heidelbeere"", ""eigenschaft"": ""frisch""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""g"", ""bezeichnung"": ""heidelbeeren"", ""erkannteZutat"": ""Heidelbeere""}, {""ZF"": 6.0, ""ZE"": 6.0, ""ZK"": 60.5, ""ZA"": 0.0, ""GCAL"": 0.37, ""QUALI"": 2.0673904600000004}]]}",ok,1.0 g heidelbeeren frisch,heidelbeeren
34,möhren,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""M\u00f6hre""}",200.0,g,"{""detailed_info"": [[{""menge"": ""200.0g"", ""einheit"": ""g"", ""bezeichnung"": ""mohre"", ""erkannteZutat"": ""Karotte (Mohrrübe, Möhre) roh""}, {""ZF"": 360.0, ""ZE"": 1680.0, ""ZK"": 13598.0, ""ZA"": 0.0, ""GCAL"": 66.0, ""QUALI"": -1.64410954}]]}",ok,200.0 g Möhre,mohre
35,kohlrabi frisch,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Kohlrabi"", ""eigenschaft"": ""frisch""}",150.0,g,"{""detailed_info"": [[{""menge"": ""150.0g"", ""einheit"": ""g"", ""bezeichnung"": ""kohlrabi"", ""erkannteZutat"": ""Kohlrabi roh""}, {""ZF"": 240.0, ""ZE"": 2910.0, ""ZK"": 5550.0, ""ZA"": 0.0, ""GCAL"": 37.5, ""QUALI"": 1.3953504600000002}]]}",ok,150.0 g Kohlrabi,kohlrabi
36,paprika rot,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}",2.0,stück,"{""detailed_info"": [[{""menge"": ""2.0g"", ""einheit"": ""g"", ""bezeichnung"": ""paprika"", ""erkannteZutat"": ""Rosenpaprika""}, {""ZF"": 260.0, ""ZE"": 296.0, ""ZK"": 698.0, ""ZA"": 0.0, ""GCAL"": 6.34, ""QUALI"": 0.7765804600000002}]]}",ok,2.0 g paprika rot,paprika
37,staudensellerie,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Staudensellerie""}",150.0,g,"{""detailed_info"": [[{""menge"": ""150.0g"", ""einheit"": ""g"", ""bezeichnung"": ""staudensellerie"", ""erkannteZutat"": ""Bleichsellerie roh""}, {""ZF"": 300.0, ""ZE"": 1800.0, ""ZK"": 3270.0, ""ZA"": 0.0, ""GCAL"": 25.5, ""QUALI"": 1.8176904600000001}]]}",ok,150.0 g Staudensellerie,staudensellerie
38,zwiebel frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""zwiebel"", ""erkannteZutat"": ""Zwiebeln""}, {""ZF"": 250.0, ""ZE"": 1177.0, ""ZK"": 4921.0, ""ZA"": 0.0, ""GCAL"": 28.0, ""QUALI"": 99999.0}]]}",ok,1.0 stück Zwiebel,zwiebel
39,tomatenmark dreifachkonzentriert,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Tomatenmark"", ""eigenschaft"": ""dreifachkonzentriert""}",0.005,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""tomatenmark"", ""erkannteZutat"": ""Tomatenmark""}, {""ZF"": 50.1, ""ZE"": 230.0, ""ZK"": 555.0, ""ZA"": 0.0, ""GCAL"": 3.8, ""QUALI"": 99999.0}]]}",ok,0.005 liter Tomatenmark,tomatenmark
41,frischkäse,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""frisch""}",200.0,g,"{""detailed_info"": [[{""menge"": ""200.0g"", ""einheit"": ""g"", ""bezeichnung"": ""frischkase"", ""erkannteZutat"": ""Frischkäse""}, {""ZF"": 63002.0, ""ZE"": 22600.0, ""ZK"": 5120.0, ""ZA"": 0.0, ""GCAL"": 674.0, ""QUALI"": 1.01974046}]]}",ok,200.0 g Frischkäse,frischkase
42,chicoree,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Chicoree""}",0.5,stück,"{""detailed_info"": [[{""menge"": ""65.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""chicoree"", ""erkannteZutat"": ""Chicoree""}, {""ZF"": 117.0, ""ZE"": 793.0, ""ZK"": 1588.6, ""ZA"": 0.0, ""GCAL"": 11.05, ""QUALI"": 99999.0}]]}",ok,0.5 stück Chicoree,chicoree
43,feldsalat,g,"{""gewicht"": ""g"", ""einheit"": ""g""}","{""zutat"": ""Feldsalat""}",1.0,g,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""g"", ""bezeichnung"": ""feldsalat"", ""erkannteZutat"": ""Feldsalat roh""}, {""ZF"": 3.6, ""ZE"": 18.4, ""ZK"": 8.1, ""ZA"": 0.0, ""GCAL"": 0.15, ""QUALI"": 1.4657404600000001}]]}",ok,1.0 g Feldsalat,feldsalat
44,frischkäse doppelrahmstufe,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""Doppelrahmstufe""}",150.0,g,"{""detailed_info"": [[{""menge"": ""150.0g"", ""einheit"": ""g"", ""bezeichnung"": ""frischkase"", ""erkannteZutat"": ""Frischkäse""}, {""ZF"": 47251.5, ""ZE"": 16950.0, ""ZK"": 3840.0, ""ZA"": 0.0, ""GCAL"": 505.5, ""QUALI"": 1.01974046}]]}",ok,150.0 g Frischkäse,frischkase
45,orange,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Orange"", ""eigenschaft"": ""orange""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""150.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""orange"", ""erkannteZutat"": ""Orange roh""}, {""ZF"": 300.0, ""ZE"": 1500.0, ""ZK"": 12375.0, ""ZA"": 0.0, ""GCAL"": 64.5, ""QUALI"": 1.25457046}]]}",ok,1.0 stück Orange,orange
47,orangensaft frisch gepresst,0.5 frucht,"{""anzahl"": 0.5, ""einheit"": ""frucht""}","{""zutat"": ""Orangensaft"", ""eigenschaft"": ""gepresst""}",0.5,stück,"{""detailed_info"": [[{""menge"": ""75.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""orangensaft"", ""erkannteZutat"": ""Orange Fruchtsaft""}, {""ZF"": 105.0, ""ZE"": 510.0, ""ZK"": 6519.75, ""ZA"": 0.0, ""GCAL"": 32.25, ""QUALI"": 99999.0}]]}",ok,0.5 stück Orangensaft,orangensaft
48,zucker,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Zucker""}",0.005,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""zucker"", ""erkannteZutat"": ""Zucker""}, {""ZF"": 0.0, ""ZE"": 0.0, ""ZK"": 9980.0, ""ZA"": 0.0, ""GCAL"": 40.5, ""QUALI"": 99999.0}]]}",ok,0.005 liter Zucker,zucker
49,spargel konserve,1 glas,"{""volumen"": 1, ""einheit"": ""glas""}","{""zutat"": ""Spargel"", ""eigenschaft"": ""konserviert""}",0.2,liter,"{""detailed_info"": [[{""menge"": ""200.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""spargel"", ""erkannteZutat"": ""Spargel roh""}, {""ZF"": 312.0, ""ZE"": 3920.0, ""ZK"": 4080.0, ""ZA"": 0.0, ""GCAL"": 36.0, ""QUALI"": 1.32496046}]]}",ok,0.2 liter Spargel,spargel
50,ei hart gekocht,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Ei"", ""eigenschaft"": ""gekocht""}",2.0,stück,"{""detailed_info"": [[{""menge"": ""100.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""ei"", ""erkannteZutat"": ""Hühnerei""}, {""ZF"": 9320.0, ""ZE"": 11850.0, ""ZK"": 1530.0, ""ZA"": 0.0, ""GCAL"": 137.0, ""QUALI"": 99999.0}]]}",ok,2.0 stück Ei,ei
51,radieschen frisch,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Radieschen"", ""eigenschaft"": ""frisch""}",3.0,stück,"{""detailed_info"": [[{""menge"": ""3.0g"", ""einheit"": ""g"", ""bezeichnung"": ""radieschen"", ""erkannteZutat"": ""Radieschen roh""}, {""ZF"": 4.2, ""ZE"": 31.5, ""ZK"": 63.9, ""ZA"": 0.0, ""GCAL"": 0.45, ""QUALI"": 1.53613046}]]}",ok,3.0 g radieschen frisch,radieschen
53,camembert doppelrahmstufe,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Camembert"", ""eigenschaft"": ""doppelrahm""}",1.0,stück,"{""detailed_info"": [[{""menge"": ""1.0g"", ""einheit"": ""g"", ""bezeichnung"": ""camembert doppelrahmstufe"", ""erkannteZutat"": ""Camembert""}, {""ZF"": 223.01, ""ZE"": 210.0, ""ZK"": 1.02, ""ZA"": 0.0, ""GCAL"": 2.84, ""QUALI"": 1.72998046}]]}",ok,1.0 g camembert doppelrahmstufe,camembert doppelrahmstufe
54,edamer,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Edamer"", ""eigenschaft"": ""40 g""}",40.0,g,"{""detailed_info"": [[{""menge"": ""40.0g"", ""einheit"": ""g"", ""bezeichnung"": ""edamer"", ""erkannteZutat"": ""Edamer""}, {""ZF"": 11320.0, ""ZE"": 9920.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 141.6, ""QUALI"": 99999.0}]]}",ok,40.0 g Edamer,edamer
55,weinessig,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig"", ""eigenschaft"": ""wei\u00df""}",0.015,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""essig"", ""erkannteZutat"": ""Essig""}, {""ZF"": 0.0, ""ZE"": 40.0, ""ZK"": 60.0, ""ZA"": 0.0, ""GCAL"": 1.9, ""QUALI"": 99999.0}]]}",ok,0.015 liter Essig,essig
56,rapsöl,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}",0.03,liter,"{""detailed_info"": [[{""menge"": ""30.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""ol"", ""erkannteZutat"": ""Sonnenblumenöl""}, {""ZF"": 30000.0, ""ZE"": 0.0, ""ZK"": 0.0, ""ZA"": 0.0, ""GCAL"": 265.2, ""QUALI"": 99999.0}]]}",ok,0.03 liter Öl,ol
57,senf grob mittelscharf,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}",0.005,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""senf"", ""erkannteZutat"": ""Senf""}, {""ZF"": 399.9, ""ZE"": 600.0, ""ZK"": 600.0, ""ZA"": 0.0, ""GCAL"": 8.6, ""QUALI"": 99999.0}]]}",ok,0.005 liter Senf,senf
58,sonnenblumenkern,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Sonnenblumenkern""}",0.015,liter,"{""detailed_info"": [[{""menge"": ""10.0g"", ""einheit"": ""liter"", ""bezeichnung"": ""sonnenblumenkern"", ""erkannteZutat"": ""Sonnenblumenkern""}, {""ZF"": 2630.0, ""ZE"": 2611.0, ""ZK"": 3474.0, ""ZA"": 0.0, ""GCAL"": 48.0, ""QUALI"": 99999.0}]]}",ok,0.015 liter Sonnenblumenkern,sonnenblumenkern
59,blumenkohl frisch,0.5 kopf,"{""anzahl"": 0.5, ""einheit"": ""kopf""}","{""zutat"": ""Blumenkohl"", ""eigenschaft"": ""frisch""}",0.5,stück,"{""detailed_info"": [[{""menge"": ""250.0g"", ""einheit"": ""stück"", ""bezeichnung"": ""blumenkohl"", ""erkannteZutat"": ""Blumenkohl roh""}, {""ZF"": 700.0, ""ZE"": 6150.0, ""ZK"": 5850.0, ""ZA"": 0.0, ""GCAL"": 57.5, ""QUALI"": 1.53613046}]]}",ok,0.5 stück Blumenkohl,blumenkohl
