,ingredient,amount,ingr_annotation,amount_annotation
29,zucker,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Zucker""}"
30,heidelbeeren frisch,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Heidelbeere"", ""eigenschaft"": ""frisch""}"
31,schokoriegel,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Schokoriegel""}"
32,amarettini mandelkeksezerstoßen,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Amarettini"", ""eigenschaft"": ""zersto\u00dfen""}"
33,deko schirmchen,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Schirmchen"", ""eigenschaft"": ""Deko""}"
34,möhren,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""M\u00f6hre""}"
35,kohlrabi frisch,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Kohlrabi"", ""eigenschaft"": ""frisch""}"
36,paprika rot,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}"
37,staudensellerie,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Staudensellerie""}"
38,zwiebel frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}"
39,tomatenmark dreifachkonzentriert,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Tomatenmark"", ""eigenschaft"": ""dreifachkonzentriert""}"
40,chilisoße  sambal oelek ,0.5 tl,"{""volumen"": 0.5, ""einheit"": ""tl""}","{""zutat"": ""Chiliso\u00dfe"", ""eigenschaft"": ""Sambal Oelek""}"
41,frischkäse,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""frisch""}"
42,chicoree,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Chicoree""}"
43,feldsalat,g,"{""gewicht"": ""g"", ""einheit"": ""g""}","{""zutat"": ""Feldsalat""}"
44,frischkäse doppelrahmstufe,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""Doppelrahmstufe""}"
45,orange,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Orange"", ""eigenschaft"": ""orange""}"
46,orangenabrieb,1 teelöffel,"{""volumen"": ""1"", ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""orange""}"
47,orangensaft frisch gepresst,0.5 frucht,"{""anzahl"": 0.5, ""einheit"": ""frucht""}","{""zutat"": ""Orangensaft"", ""eigenschaft"": ""gepresst""}"
48,zucker,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Zucker""}"
49,spargel konserve,1 glas,"{""volumen"": 1, ""einheit"": ""glas""}","{""zutat"": ""Spargel"", ""eigenschaft"": ""konserviert""}"
50,ei hart gekocht,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Ei"", ""eigenschaft"": ""gekocht""}"
51,radieschen frisch,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Radieschen"", ""eigenschaft"": ""frisch""}"
52,datteltomaten,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""Datteltomate"", ""eigenschaft"": ""ganz""}"
53,camembert doppelrahmstufe,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Camembert"", ""eigenschaft"": ""doppelrahm""}"
54,edamer,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Edamer"", ""eigenschaft"": ""40 g""}"
55,weinessig,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig"", ""eigenschaft"": ""wei\u00df""}"
56,rapsöl,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}"
57,senf grob mittelscharf,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}"
58,sonnenblumenkern,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Sonnenblumenkern""}"
59,blumenkohl frisch,0.5 kopf,"{""anzahl"": 0.5, ""einheit"": ""kopf""}","{""zutat"": ""Blumenkohl"", ""eigenschaft"": ""frisch""}"
60,kartoffel gewürfelt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Kartoffel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
61,karotte,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte""}"
62,lauch längs halbiert undgeschnitten,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Lauch"", ""eigenschaft"": ""geschnitten""}"
63,zwiebel gewürfelt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
64,wasser,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""liter""}"
65,riesling trocken,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Riesling"", ""eigenschaft"": ""trocken""}"
66,muskatnuss frisch gerieben,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Muskatnuss"", ""eigenschaft"": ""gerieben""}"
67,liebstöckel frischgeschnitten,6 blatt,"{""anzahl"": 6, ""einheit"": ""blatt""}","{""zutat"": ""Liebst\u00f6ckel"", ""eigenschaft"": ""frischgeschnitten""}"
68,zwiebel  gewürfelt,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
69,basilikum,6 blatt,"{""anzahl"": 6, ""einheit"": ""blatt""}","{""zutat"": ""Basilikum"", ""eigenschaft"": ""blatt""}"
70,crema di balsamico  rot,1 spritzer,"{""anzahl"": 1, ""einheit"": ""spritzer""}","{""zutat"": ""Creme"", ""eigenschaft"": ""rot""}"
71,tomatenpüree,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Tomatenp\u00fcree""}"
72,zitronensaft,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Zitronensaft""}"
73,rüböl  rapsöl ,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""R\u00fcb\u00f6l""}"
74,bier,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Bier""}"
75,sonnenblumenkerne geröstet,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Sonnenblumenkern"", ""eigenschaft"": ""ger\u00f6stet""}"
76,pfeffer aus der mühle,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""aus der M\u00fchle""}"
77,salz aus der mühle,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""salz""}","{""zutat"": ""Salz"", ""eigenschaft"": ""aus der M\u00fchle""}"
78,spaghetti,170 g,"{""gewicht"": 170, ""einheit"": ""g""}","{""zutat"": ""Spaghetti""}"
79,wasser gesalzen,1 ½ liter,"{""volumen"": ""1 \u00bd"", ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}"
80,margarine,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Margarine""}"
81,zwiebel gewürfelt,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
82,champignons braun,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Champignon"", ""eigenschaft"": ""braun""}"
83,wasser,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}"
84,zucchini geraspelt,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Zucchini"", ""eigenschaft"": ""geraspelt""}"
85,karotte geraspelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""geraspelt""}"
86,schnittlauch frisch gehackt,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Schnittlauch"", ""eigenschaft"": ""gehackt""}"
87,walnuss frischkäse,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Walnuss"", ""eigenschaft"": ""frisch""}"
88,pistazien,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Pistazie""}"
89,mehl,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Mehl""}"
90,wasser,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}"
91,endivien frisch,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Endivie"", ""eigenschaft"": ""frisch""}"
92,zwiebel gewürfelt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
93,salz grob,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""salz""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}"
94,knoblauch gehackt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Knoblauch"", ""eigenschaft"": ""gehackt""}"
95,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}"
96,senf grob mittelscharf,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}"
97,weinessig,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig"", ""eigenschaft"": ""wei\u00df""}"
98,rapsöl,3 esslöffel,"{""anzahl"": 3, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}"
99,parmesan gerieben,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Parmesan"", ""eigenschaft"": ""gerieben""}"
100,möhren,900 g,"{""gewicht"": 900, ""einheit"": ""g""}","{""zutat"": ""M\u00f6hre""}"
101,zwiebel frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}"
102,bohnen grün frisch,400 g,"{""gewicht"": 400, ""einheit"": ""g""}","{""zutat"": ""Bohne"", ""eigenschaft"": ""frisch""}"
103,schinkenwürfel,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Schinkenw\u00fcrfel""}"
104,paprikaschoten frisch,3,"{""anzahl"": 3, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprikaschote"", ""eigenschaft"": ""frisch""}"
105,zucchini frisch,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Zucchini"", ""eigenschaft"": ""frisch""}"
106,sellerie frisch,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Sellerie"", ""eigenschaft"": ""frisch""}"
107,karotten,7 stk.,"{""anzahl"": 7, ""einheit"": ""stk.""}","{""zutat"": ""Karotte""}"
108,zitronensaft,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Zitronensaft""}"
109,zucker,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker""}"
110,salz grob,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}"
111,essig,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig""}"
112,pfeffer aus der mühle weiß,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""wei\u00df""}"
113,rapsöl,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}"
114,joghurt   fett,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Joghurt"", ""eigenschaft"": ""fett""}"
115,schmand,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Schmand"", ""eigenschaft"": ""rahmig""}"
116,apfel elstar,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Apfel"", ""eigenschaft"": ""Elstar""}"
117,langkornreis mit wildreis,1 tasse,"{""volumen"": 1, ""einheit"": ""tasse""}","{""zutat"": ""Reis"", ""eigenschaft"": ""langk\u00f6rnig""}"
118,zucchini,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Zucchini""}"
119,tomate frisch,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}"
120,frühlingszwiebeln frisch,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Fr\u00fchlingszwiebel"", ""eigenschaft"": ""frisch""}"
121,garnelen aus nachhaltigerfischerei,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Garnele"", ""eigenschaft"": ""aus nachhaltiger Fischerei""}"
122,kabeljaufilet ausnachhaltiger fischerei,120 g,"{""gewicht"": 120, ""einheit"": ""g""}","{""zutat"": ""Kabeljaufilet"", ""eigenschaft"": ""aus nachhaltiger Fischerei""}"
123,rapsöl,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}"
124,sesamöl,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Sesam\u00f6l""}"
125,sojasoße dunkel,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Sojasauce"", ""eigenschaft"": ""dunkel""}"
126,zitronensaft,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Zitronensaft""}"
127,asiatische fischsoße,1 el,"{""volumen"": ""1"", ""einheit"": ""el""}","{""zutat"": ""Fischso\u00dfe"", ""eigenschaft"": ""asiatisch""}"
128,nudeln  hier tagliatelle war rest aus der packung,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Nudel"", ""eigenschaft"": ""ausgepackt""}"
129,butterschmalz,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Butterschmalz""}"
130,paprika gelb,0.5 stück,"{""anzahl"": 0.5, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""gelb""}"
131,paprika rot,0.5 stück,"{""anzahl"": 0.5, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}"
132,bacon-scheiben,4 stück,"{""anzahl"": 4, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Bacon"", ""eigenschaft"": ""geschnitten""}"
133,gorgonzola,80 g,"{""gewicht"": 80, ""einheit"": ""g""}","{""zutat"": ""Gorgonzola""}"
134,st  agur,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Gurke"", ""eigenschaft"": ""stark""}"
135,frühlingszwiebel,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Fr\u00fchlingszwiebel"", ""eigenschaft"": ""fr\u00fch""}"
136,möhren,400 g,"{""gewicht"": 400, ""einheit"": ""g""}","{""zutat"": ""M\u00f6hre""}"
137,paprika rot,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}"
138,kohlrabi frisch,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Kohlrabi"", ""eigenschaft"": ""frisch""}"
139,staudensellerie,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Staudensellerie""}"
140,wasser,0.75 liter,"{""volumen"": 0.75, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""kalt""}"
141,chilisoße  sambal oelek ,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Chilisauce"", ""eigenschaft"": ""Sambal Oelek""}"
142,brunch,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Becher"", ""eigenschaft"": ""Brunch""}"
143,hackfleisch gemischt,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Hackfleisch"", ""eigenschaft"": ""gemischt""}"
144,brötchen alt  in milcheingeweicht,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Br\u00f6tchen"", ""eigenschaft"": ""eingeweicht""}"
145,zwiebel fein gewürfelt,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}"
146,knoblauchzehe zerdrückt,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Knoblauchzehe"", ""eigenschaft"": ""zerdr\u00fcckt""}"
147,ei,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""ganz""}"
148,bratwurst grob,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Bratwurst"", ""eigenschaft"": ""grob""}"
149,camembert,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Camembert""}"
150,paprikaschote frisch,0.5 stück,"{""anzahl"": 0.5, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprikaschote"", ""eigenschaft"": ""frisch""}"
151,frühstücksspeck,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Speck"", ""eigenschaft"": ""fr\u00fchst\u00fccksspeck""}"
152,gehacktes,1000 g,"{""gewicht"": 1000, ""einheit"": ""g""}","{""zutat"": ""Hack"", ""eigenschaft"": ""gehackt""}"
153,spinat,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Spinat""}"
154,sahne,150 ml,"{""volumen"": 150, ""einheit"": ""ml""}","{""zutat"": ""Sahne""}"
155,reibekäse,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Reibek\u00e4se""}"
156,zwiebel gehackt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gehackt""}"
157,paprika,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprika""}"
158,bauerngurken,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Bauergurke"", ""eigenschaft"": ""St\u00fcck""}"
159,tomaten frisch,4 stück,"{""anzahl"": 4, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}"
160,apfelessig,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Essig"", ""eigenschaft"": ""Apfel""}"
161,olivenöl extra vergine,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""extra vergine""}"
162,blätterteig rolle,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Bl\u00e4tterteig"", ""eigenschaft"": ""gerollt""}"
163,zwiebel frisch,1 kg,"{""gewicht"": 1, ""einheit"": ""kg""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}"
164,katenschinken feingewürfelt,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""fein gew\u00fcrfelt""}"
165,butterschmalz,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Butterschmalz""}"
166,schmand,2 becher,"{""anzahl"": 2, ""einheit"": ""becher""}","{""zutat"": ""Schmand""}"
167,saure sahne     fett,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fett""}"
168,eier,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""St\u00fcck""}"
169,speisestärke,2 el (gestrichen),"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Speisest\u00e4rke"", ""eigenschaft"": ""gestrichen""}"
170,milch,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Milch"", ""eigenschaft"": ""fl\u00fcssig""}"
171,karotten in scheibengeschnitten,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""in Scheiben geschnitten""}"
172,wasser gesalzen,0.5 liter,"{""volumen"": 0.5, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}"
173,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}"
174,zucchini,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Zucchini""}"
175,zwiebel rot,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""rot""}"
176,wasser gesalzen,0.5 liter,"{""volumen"": 0.5, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}"
177,garnelen frisch groß,2 päckchen,"{""anzahl"": 2, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Garnele"", ""eigenschaft"": ""gro\u00df""}"
178,brötchen-weizenbrötchen,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Br\u00f6tchen"", ""eigenschaft"": ""Weizen""}"
179,zwiebel frisch,70 g,"{""gewicht"": 70, ""einheit"": ""g""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}"
180,essiggurken,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Essiggurke""}"
