Unnamed: 0,ingredient,amount,ingr_annotation,amount_annotation,norm_value,norm_unit
13,tomatenmark dreifachkonzentriert,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Tomatenmark"", ""eigenschaft"": ""dreifachkonzentriert""}",0.015,liter
14,majoran getrocknet,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Majoran"", ""eigenschaft"": ""getrocknet""}",0.005,liter
15,bio hähnchenschlegel,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""H\u00e4hnchenschlegel"", ""eigenschaft"": ""bio""}",4.0,stück
16,hähnchen freilandhaltung,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""H\u00e4hnchen"", ""eigenschaft"": ""Freilandhaltung""}",2.0,stück
17,rapsöl,1 schuss,"{""volumen"": 1, ""einheit"": ""schuss""}","{""zutat"": ""Schuss"", ""eigenschaft"": ""Raps\u00f6l""}",0.02,liter
18,zwiebeln grob geschnitten,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""geschnitten""}",2.0,stück
19,rosenkohl frisch,190 g,"{""gewicht"": 190, ""einheit"": ""g""}","{""zutat"": ""Rosenkohl"", ""eigenschaft"": ""frisch""}",190.0,g
20,snackkarotten,80 g,"{""gewicht"": 80, ""einheit"": ""g""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""Snack-""}",80.0,g
21,lauch längs halbiert undgeschnitten,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Lauch"", ""eigenschaft"": ""geschnitten""}",40.0,g
22,weißwein trocken,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Wein"", ""eigenschaft"": ""trocken""}",0.1,liter
23,champignons,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Champignon""}",150.0,g
24,sahne flüssig,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fl\u00fcssig""}",0.2,liter
25,butter,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Butter""}",0.005,liter
26,mehl,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Mehl""}",0.005,liter
27,frischkäse doppelrahmstufe,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""doppelrahmstufe""}",150.0,g
28,milch,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Milch"", ""eigenschaft"": ""fl\u00fcssig""}",0.03,liter
29,zucker,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Zucker""}",0.015,liter
30,heidelbeeren frisch,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Heidelbeere"", ""eigenschaft"": ""frisch""}",1.0,stück
31,schokoriegel,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Schokoriegel""}",1.0,stück
32,amarettini mandelkeksezerstoßen,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Amarettini"", ""eigenschaft"": ""zersto\u00dfen""}",0.03,liter
33,deko schirmchen,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Schirmchen"", ""eigenschaft"": ""Deko""}",2.0,stück
34,möhren,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""M\u00f6hre""}",200.0,g
35,kohlrabi frisch,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Kohlrabi"", ""eigenschaft"": ""frisch""}",150.0,g
36,paprika rot,2,"{""anzahl"": 2, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}",2.0,stück
37,staudensellerie,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Staudensellerie""}",150.0,g
38,zwiebel frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",1.0,stück
39,tomatenmark dreifachkonzentriert,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Tomatenmark"", ""eigenschaft"": ""dreifachkonzentriert""}",0.005,liter
40,chilisoße  sambal oelek ,0.5 tl,"{""volumen"": 0.5, ""einheit"": ""tl""}","{""zutat"": ""Chiliso\u00dfe"", ""eigenschaft"": ""Sambal Oelek""}",0.0025,liter
41,frischkäse,200 g,"{""gewicht"": 200, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""frisch""}",200.0,g
42,chicoree,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Chicoree""}",0.5,stück
43,feldsalat,g,"{""gewicht"": ""g"", ""einheit"": ""g""}","{""zutat"": ""Feldsalat""}",1.0,g
44,frischkäse doppelrahmstufe,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Frischk\u00e4se"", ""eigenschaft"": ""Doppelrahmstufe""}",150.0,g
45,orange,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Orange"", ""eigenschaft"": ""orange""}",1.0,stück
46,orangenabrieb,1 teelöffel,"{""volumen"": ""1"", ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Teel\u00f6ffel"", ""eigenschaft"": ""orange""}",0.005,liter
47,orangensaft frisch gepresst,0.5 frucht,"{""anzahl"": 0.5, ""einheit"": ""frucht""}","{""zutat"": ""Orangensaft"", ""eigenschaft"": ""gepresst""}",0.5,stück
48,zucker,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Zucker""}",0.005,liter
49,spargel konserve,1 glas,"{""volumen"": 1, ""einheit"": ""glas""}","{""zutat"": ""Spargel"", ""eigenschaft"": ""konserviert""}",0.2,liter
50,ei hart gekocht,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Ei"", ""eigenschaft"": ""gekocht""}",2.0,stück
51,radieschen frisch,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Radieschen"", ""eigenschaft"": ""frisch""}",3.0,stück
52,datteltomaten,4 stk.,"{""anzahl"": 4, ""einheit"": ""stk.""}","{""zutat"": ""Datteltomate"", ""eigenschaft"": ""ganz""}",4.0,stück
53,camembert doppelrahmstufe,1 päckchen,"{""anzahl"": 1, ""einheit"": ""P\u00e4ckchen""}","{""zutat"": ""Camembert"", ""eigenschaft"": ""doppelrahm""}",1.0,stück
54,edamer,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Edamer"", ""eigenschaft"": ""40 g""}",40.0,g
55,weinessig,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig"", ""eigenschaft"": ""wei\u00df""}",0.015,liter
56,rapsöl,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}",0.03,liter
57,senf grob mittelscharf,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}",0.005,liter
58,sonnenblumenkern,1 esslöffel,"{""volumen"": ""1"", ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Sonnenblumenkern""}",0.015,liter
59,blumenkohl frisch,0.5 kopf,"{""anzahl"": 0.5, ""einheit"": ""kopf""}","{""zutat"": ""Blumenkohl"", ""eigenschaft"": ""frisch""}",0.5,stück
60,kartoffel gewürfelt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Kartoffel"", ""eigenschaft"": ""gew\u00fcrfelt""}",1.0,stück
61,karotte,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte""}",0.5,stück
62,lauch längs halbiert undgeschnitten,60 g,"{""gewicht"": 60, ""einheit"": ""g""}","{""zutat"": ""Lauch"", ""eigenschaft"": ""geschnitten""}",60.0,g
63,zwiebel gewürfelt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",1.0,stück
64,wasser,1 liter,"{""volumen"": 1, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""liter""}",1.0,liter
65,riesling trocken,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Riesling"", ""eigenschaft"": ""trocken""}",0.1,liter
66,muskatnuss frisch gerieben,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Muskatnuss"", ""eigenschaft"": ""gerieben""}",0.0005,liter
67,liebstöckel frischgeschnitten,6 blatt,"{""anzahl"": 6, ""einheit"": ""blatt""}","{""zutat"": ""Liebst\u00f6ckel"", ""eigenschaft"": ""frischgeschnitten""}",6.0,stück
68,zwiebel  gewürfelt,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",1.0,stück
69,basilikum,6 blatt,"{""anzahl"": 6, ""einheit"": ""blatt""}","{""zutat"": ""Basilikum"", ""eigenschaft"": ""blatt""}",6.0,stück
70,crema di balsamico  rot,1 spritzer,"{""anzahl"": 1, ""einheit"": ""spritzer""}","{""zutat"": ""Creme"", ""eigenschaft"": ""rot""}",0.002,liter
71,tomatenpüree,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Tomatenp\u00fcree""}",0.005,liter
72,zitronensaft,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Zitronensaft""}",0.005,liter
73,rüböl  rapsöl ,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""R\u00fcb\u00f6l""}",0.005,liter
74,bier,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Bier""}",0.015,liter
75,sonnenblumenkerne geröstet,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Sonnenblumenkern"", ""eigenschaft"": ""ger\u00f6stet""}",0.015,liter
76,pfeffer aus der mühle,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""aus der M\u00fchle""}",0.0005,liter
77,salz aus der mühle,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""salz""}","{""zutat"": ""Salz"", ""eigenschaft"": ""aus der M\u00fchle""}",0.0005,liter
78,spaghetti,170 g,"{""gewicht"": 170, ""einheit"": ""g""}","{""zutat"": ""Spaghetti""}",170.0,g
79,wasser gesalzen,1 ½ liter,"{""volumen"": ""1 \u00bd"", ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""gesalzen""}",1.5,liter
80,margarine,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Margarine""}",1.0,stück
81,zwiebel gewürfelt,2 stk.,"{""anzahl"": 2, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",2.0,stück
82,champignons braun,3 stk.,"{""anzahl"": 3, ""einheit"": ""stk.""}","{""zutat"": ""Champignon"", ""eigenschaft"": ""braun""}",3.0,stück
83,wasser,200 ml,"{""volumen"": 200, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}",0.2,liter
84,zucchini geraspelt,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Zucchini"", ""eigenschaft"": ""geraspelt""}",150.0,g
85,karotte geraspelt,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Karotte"", ""eigenschaft"": ""geraspelt""}",0.5,stück
86,schnittlauch frisch gehackt,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Schnittlauch"", ""eigenschaft"": ""gehackt""}",0.03,liter
87,walnuss frischkäse,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Walnuss"", ""eigenschaft"": ""frisch""}",40.0,g
88,pistazien,40 g,"{""gewicht"": 40, ""einheit"": ""g""}","{""zutat"": ""Pistazie""}",40.0,g
89,mehl,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Mehl""}",0.005,liter
90,wasser,100 ml,"{""volumen"": 100, ""einheit"": ""ml""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""fl\u00fcssig""}",0.1,liter
91,endivien frisch,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Endivie"", ""eigenschaft"": ""frisch""}",0.5,stück
92,zwiebel gewürfelt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",1.0,stück
93,salz grob,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise"", ""zutat"": ""salz""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}",0.0005,liter
94,knoblauch gehackt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Knoblauch"", ""eigenschaft"": ""gehackt""}",1.0,stück
95,zucker,1 prise,"{""anzahl"": 1, ""einheit"": ""prise"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker"", ""eigenschaft"": ""Prise""}",0.0005,liter
96,senf grob mittelscharf,1 teelöffel,"{""volumen"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Senf"", ""eigenschaft"": ""mittelscharf""}",0.005,liter
97,weinessig,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig"", ""eigenschaft"": ""wei\u00df""}",0.03,liter
98,rapsöl,3 esslöffel,"{""anzahl"": 3, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}",0.045,liter
99,parmesan gerieben,2 esslöffel,"{""anzahl"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Parmesan"", ""eigenschaft"": ""gerieben""}",0.03,liter
100,möhren,900 g,"{""gewicht"": 900, ""einheit"": ""g""}","{""zutat"": ""M\u00f6hre""}",900.0,g
101,zwiebel frisch,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",1.0,stück
102,bohnen grün frisch,400 g,"{""gewicht"": 400, ""einheit"": ""g""}","{""zutat"": ""Bohne"", ""eigenschaft"": ""frisch""}",400.0,g
103,schinkenwürfel,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Schinkenw\u00fcrfel""}",250.0,g
104,paprikaschoten frisch,3,"{""anzahl"": 3, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Paprikaschote"", ""eigenschaft"": ""frisch""}",3.0,stück
105,zucchini frisch,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Zucchini"", ""eigenschaft"": ""frisch""}",100.0,g
106,sellerie frisch,0.5 stk.,"{""anzahl"": 0.5, ""einheit"": ""stk.""}","{""zutat"": ""Sellerie"", ""eigenschaft"": ""frisch""}",0.5,stück
107,karotten,7 stk.,"{""anzahl"": 7, ""einheit"": ""stk.""}","{""zutat"": ""Karotte""}",7.0,stück
108,zitronensaft,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Zitronensaft""}",0.03,liter
109,zucker,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel"", ""zutat"": ""zucker""}","{""zutat"": ""Zucker""}",0.015,liter
110,salz grob,1 teelöffel,"{""anzahl"": 1, ""einheit"": ""teel\u00f6ffel""}","{""zutat"": ""Salz"", ""eigenschaft"": ""grob""}",0.005,liter
111,essig,1 esslöffel,"{""volumen"": 1, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""Essig""}",0.015,liter
112,pfeffer aus der mühle weiß,1 prise,"{""anzahl"": 1, ""einheit"": ""Prise""}","{""zutat"": ""Pfeffer"", ""eigenschaft"": ""wei\u00df""}",0.0005,liter
113,rapsöl,2 esslöffel,"{""volumen"": 2, ""einheit"": ""essl\u00f6ffel""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps-""}",0.03,liter
114,joghurt   fett,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Joghurt"", ""eigenschaft"": ""fett""}",50.0,g
115,schmand,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Schmand"", ""eigenschaft"": ""rahmig""}",50.0,g
116,apfel elstar,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Apfel"", ""eigenschaft"": ""Elstar""}",1.0,stück
117,langkornreis mit wildreis,1 tasse,"{""volumen"": 1, ""einheit"": ""tasse""}","{""zutat"": ""Reis"", ""eigenschaft"": ""langk\u00f6rnig""}",0.25,liter
118,zucchini,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Zucchini""}",150.0,g
119,tomate frisch,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}",1.0,stück
120,frühlingszwiebeln frisch,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Fr\u00fchlingszwiebel"", ""eigenschaft"": ""frisch""}",2.0,stück
121,garnelen aus nachhaltigerfischerei,250 g,"{""gewicht"": 250, ""einheit"": ""g""}","{""zutat"": ""Garnele"", ""eigenschaft"": ""aus nachhaltiger Fischerei""}",250.0,g
122,kabeljaufilet ausnachhaltiger fischerei,120 g,"{""gewicht"": 120, ""einheit"": ""g""}","{""zutat"": ""Kabeljaufilet"", ""eigenschaft"": ""aus nachhaltiger Fischerei""}",120.0,g
123,rapsöl,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""Raps""}",0.015,liter
124,sesamöl,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Sesam\u00f6l""}",0.015,liter
125,sojasoße dunkel,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Sojasauce"", ""eigenschaft"": ""dunkel""}",0.015,liter
126,zitronensaft,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Zitronensaft""}",0.015,liter
127,asiatische fischsoße,1 el,"{""volumen"": ""1"", ""einheit"": ""el""}","{""zutat"": ""Fischso\u00dfe"", ""eigenschaft"": ""asiatisch""}",0.015,liter
128,nudeln  hier tagliatelle war rest aus der packung,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Nudel"", ""eigenschaft"": ""ausgepackt""}",100.0,g
129,butterschmalz,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Butterschmalz""}",0.015,liter
130,paprika gelb,0.5 stück,"{""anzahl"": 0.5, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""gelb""}",0.5,stück
131,paprika rot,0.5 stück,"{""anzahl"": 0.5, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}",0.5,stück
132,bacon-scheiben,4 stück,"{""anzahl"": 4, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Bacon"", ""eigenschaft"": ""geschnitten""}",4.0,stück
133,gorgonzola,80 g,"{""gewicht"": 80, ""einheit"": ""g""}","{""zutat"": ""Gorgonzola""}",80.0,g
134,st  agur,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Gurke"", ""eigenschaft"": ""stark""}",50.0,g
135,frühlingszwiebel,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Fr\u00fchlingszwiebel"", ""eigenschaft"": ""fr\u00fch""}",2.0,stück
136,möhren,400 g,"{""gewicht"": 400, ""einheit"": ""g""}","{""zutat"": ""M\u00f6hre""}",400.0,g
137,paprika rot,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Paprika"", ""eigenschaft"": ""rot""}",500.0,g
138,kohlrabi frisch,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Kohlrabi"", ""eigenschaft"": ""frisch""}",300.0,g
139,staudensellerie,1,"{""anzahl"": 1, ""einheit"": ""St\u00fcck""}","{""zutat"": ""Staudensellerie""}",1.0,stück
140,wasser,0.75 liter,"{""volumen"": 0.75, ""einheit"": ""liter""}","{""zutat"": ""Wasser"", ""eigenschaft"": ""kalt""}",0.75,liter
141,chilisoße  sambal oelek ,1 tl,"{""volumen"": 1, ""einheit"": ""tl""}","{""zutat"": ""Chilisauce"", ""eigenschaft"": ""Sambal Oelek""}",0.005,liter
142,brunch,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Becher"", ""eigenschaft"": ""Brunch""}",0.25,liter
143,hackfleisch gemischt,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Hackfleisch"", ""eigenschaft"": ""gemischt""}",500.0,g
144,brötchen alt  in milcheingeweicht,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Br\u00f6tchen"", ""eigenschaft"": ""eingeweicht""}",1.0,stück
145,zwiebel fein gewürfelt,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gew\u00fcrfelt""}",1.0,stück
146,knoblauchzehe zerdrückt,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Knoblauchzehe"", ""eigenschaft"": ""zerdr\u00fcckt""}",2.0,stück
147,ei,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""ganz""}",1.0,stück
148,bratwurst grob,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Bratwurst"", ""eigenschaft"": ""grob""}",1.0,stück
149,camembert,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Camembert""}",1.0,stück
150,paprikaschote frisch,0.5 stück,"{""anzahl"": 0.5, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprikaschote"", ""eigenschaft"": ""frisch""}",0.5,stück
151,frühstücksspeck,100 g,"{""gewicht"": 100, ""einheit"": ""g""}","{""zutat"": ""Speck"", ""eigenschaft"": ""fr\u00fchst\u00fccksspeck""}",100.0,g
152,gehacktes,1000 g,"{""gewicht"": 1000, ""einheit"": ""g""}","{""zutat"": ""Hack"", ""eigenschaft"": ""gehackt""}",1000.0,g
153,spinat,500 g,"{""gewicht"": 500, ""einheit"": ""g""}","{""zutat"": ""Spinat""}",500.0,g
154,sahne,150 ml,"{""volumen"": 150, ""einheit"": ""ml""}","{""zutat"": ""Sahne""}",0.15,liter
155,reibekäse,50 g,"{""gewicht"": 50, ""einheit"": ""g""}","{""zutat"": ""Reibek\u00e4se""}",50.0,g
156,zwiebel gehackt,1 stk.,"{""anzahl"": 1, ""einheit"": ""stk.""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""gehackt""}",1.0,stück
157,paprika,1 stück,"{""anzahl"": 1, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Paprika""}",1.0,stück
158,bauerngurken,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Bauergurke"", ""eigenschaft"": ""St\u00fcck""}",2.0,stück
159,tomaten frisch,4 stück,"{""anzahl"": 4, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Tomate"", ""eigenschaft"": ""frisch""}",4.0,stück
160,apfelessig,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""Essig"", ""eigenschaft"": ""Apfel""}",0.015,liter
161,olivenöl extra vergine,1 el,"{""volumen"": 1, ""einheit"": ""el""}","{""zutat"": ""\u00d6l"", ""eigenschaft"": ""extra vergine""}",0.015,liter
162,blätterteig rolle,300 g,"{""gewicht"": 300, ""einheit"": ""g""}","{""zutat"": ""Bl\u00e4tterteig"", ""eigenschaft"": ""gerollt""}",300.0,g
163,zwiebel frisch,1 kg,"{""gewicht"": 1, ""einheit"": ""kg""}","{""zutat"": ""Zwiebel"", ""eigenschaft"": ""frisch""}",1000.0,g
164,katenschinken feingewürfelt,150 g,"{""gewicht"": 150, ""einheit"": ""g""}","{""zutat"": ""Schinken"", ""eigenschaft"": ""fein gew\u00fcrfelt""}",150.0,g
165,butterschmalz,2 el,"{""volumen"": 2, ""einheit"": ""el""}","{""zutat"": ""Butterschmalz""}",0.03,liter
166,schmand,2 becher,"{""anzahl"": 2, ""einheit"": ""becher""}","{""zutat"": ""Schmand""}",0.5,liter
167,saure sahne     fett,1 becher,"{""volumen"": 1, ""einheit"": ""becher""}","{""zutat"": ""Sahne"", ""eigenschaft"": ""fett""}",0.25,liter
168,eier,2 stück,"{""anzahl"": 2, ""einheit"": ""st\u00fcck""}","{""zutat"": ""Ei"", ""eigenschaft"": ""St\u00fcck""}",2.0,stück
